Destination,Country,Region,Category_Grouped,Tourists_Category,Cost_Category,Language_Group,Is_Similar_Language,Currency,Majority Religion,Best Time to Visit,Safety_Category,has_weiáwurst,has_croissants,has_sardinha,has_speck,has_haggis,has_grne_soáe,has_frankfurter_kranz,has_churros,has_choucroute,has_ksknpfle,has_heurigen,has_nioise_salad,has_moussaka,has_?evapi,has_canel,has_jam¢n_ibrico,has_horchata,has_rindsuppe,has_fischbrtchen,has_jansson's_temptation,has_sachertorte,has_fish,has_ossobuco,has_sunday_roast,has_sarma,has_apfelstrudel,has_borscht,has_labskaus,has_limoncello,has_flamenco,has_ensalada_mallorquina,has_imqaret,has_gazpacho,has_sauerkraut,has_pastizzi,has_pastel_de_nata,has_varenyky,has_fish_and_chips,has_bavarian_cuisine,has_riesling,has_rabbit_stew,has_cassoulet,has_skyr,has_ksesptzle,has_dolma,has_panisses,has_brunost,has_greek_cuisine,has_fika,has_krbiskernsuppe,has_kebab,has_croque-monsieur,has_brezn,has_baguettes,has_raclette,has_eierschecke,has_kartoffelsalat,has_ensalada_rusa,has_paella,has_pintxos,has_zwiebelrostbraten,has_sptzle,has_lamb,has_mediterranean_cuisine,has_frikadeller,has_gelato,has_fondue,has_knppchen,has_mozartkugel,has_tiroler_grstl,has_afternoon_tea,has_sobrasada,has_himmel_un_d,has_crepes,has_sm?rrebr?d,has_french_onion_soup,has_tapas,has_tartiflette,has_judd_mat_gaardebounen,has_pasta,has_socca,has_cheese,has_black_forest_cake,has_panisse,has_blini,has_espetada,has_rsti,has_bratwurst,has_bouillabaisse,has_souvlaki,has_leberkse,has_pelmeni,has_shortbread,has_bolo_de_mel,has_baklava,has_dresdner_stollen,has_espetos,has_gyros,has_currywurst,has_scotch_whisky,has_cannoli,has_belgian_fries,has_lyonnaise_salad,has_apfelwein,has_chocolate,has_reindeer,has_rote_grtze,has_pesto,has_pljeskavica,has_seafood,has_bacalhau,has_klsch,has_salo,has_bacalao_al_pil-pil,has_bredele,has_pastel_de_belm,has_blekage,has_tortilla_espa¤ola,has_kttbullar,has_sauerbraten,has_maultaschen,has_aoli,has_kaiserschmarrn,has_panettone,has_poncha,has_greek_salad,has_risotto,has_wiener_schnitzel,has_pizza,has_backhendl,has_danish_cuisine,has_francesinha,has_salzburger_nockerl,has_quiche_lorraine,has_foie_gras,has_waffles
Barcelona,Spain,Catalonia,Urban,High,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Madrid,Spain,Community of Madrid,Urban,Medium,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Seville,Spain,Andalusia,Urban,Medium,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Valencia,Spain,Valencian Community,Urban,Low,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Granada,Spain,Andalusia,Urban,Low,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M laga,Spain,Andalusia,Urban,Low,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bilbao,Spain,Basque Country,Urban,Low,High,Other,No,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ibiza,Spain,Balearic Islands,Other,Medium,High,Romanic,Yes,Euro,Roman Catholic,Summer (June-September),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Majorca,Spain,Balearic Islands,Other,High,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
San Sebasti n,Spain,Basque Country,Urban,Low,High,Other,No,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paris,France,?le-de-France,Urban,Unknown,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nice,France,Provence-Alpes-Cte d'Azur,Coastal,Medium,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marseille,France,Provence-Alpes-Cte d'Azur,Coastal,Medium,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lyon,France,Auvergne-Rhne-Alpes,Urban,Low,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bordeaux,France,Nouvelle-Aquitaine,Urban,Low,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Strasbourg,France,Grand Est,Urban,Low,High,Other,No,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cannes,France,Provence-Alpes-Cte d'Azur,Coastal,Unknown,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),Medium,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mont Saint-Michel,France,Normandy,Other,Medium,High,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Loire Valley,France,Centre-Val de Loire,Other,Unknown,Medium,Romanic,Yes,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
French Alps,France,Auvergne-Rhne-Alpes,Nature,Unknown,High,Romanic,Yes,Euro,Roman Catholic,"Winter (Dec-Mar) for skiing, Summer (Jun-Sept)",High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vienna,Austria,Vienna,Urban,Medium,High,Germanic,No,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Salzburg,Austria,Salzburg,Urban,Medium,High,Germanic,No,Euro,Roman Catholic,Spring (April-May) or Fall (Sept-Oct),High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Innsbruck,Austria,Tyrol,Urban,Low,High,Germanic,No,Euro,Roman Catholic,"Winter (Dec-Mar) for skiing, Summer (Jun-Sept)",High,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
